"Category";"Fields of Research (ANZSRC 2020)"
"40 Engineering";165070
"49 Mathematical Sciences";97301
"51 Physical Sciences";83216
"46 Information and Computing Sciences";82097
"37 Earth Sciences";35255
"34 Chemical Sciences";31866
"32 Biomedical and Clinical Sciences";29618
"31 Biological Sciences";20281
"41 Environmental Sciences";12263
"44 Human Society";9054
"33 Built Environment and Design";8908
"35 Commerce, Management, Tourism and Services";8816
"30 Agricultural, Veterinary and Food Sciences";7555
"50 Philosophy and Religious Studies";7065
"52 Psychology";6857
"42 Health Sciences";6602
"38 Economics";5700
"47 Language, Communication and Culture";5249
"36 Creative Arts and Writing";4705
"43 History, Heritage and Archaeology";3437
"39 Education";3298
"48 Law and Legal Studies";1444
