Category;Fields of Research dim
Engineering;165070
Mathematical Sciences;97301
Physical Sciences;83216
Information and Computing Sciences;82097
Earth Sciences;35255
Chemical Sciences;31866
Biomedical and Clinical Sciences;29618
Biological Sciences;20281
Environmental Sciences;12263
Human Society;9054
Built Environment and Design;8908
Commerce, Management, Tourism and Services;8816
Agricultural, Veterinary and Food Sciences;7555
Philosophy and Religious Studies;7065
Psychology;6857
Health Sciences;6602
Economics;5700
Language, Communication and Culture;5249
Creative Arts and Writing;4705
History, Heritage and Archaeology;3437
Education;3298
Law and Legal Studies;1444
