Category;Fields of Research lac
Engineering;1874
Information and Computing Sciences;1332
Biomedical and Clinical Sciences;1210
Mathematical Sciences;928
Physical Sciences;877
Biological Sciences;735
Earth Sciences;659
Environmental Sciences;570
Agricultural, Veterinary and Food Sciences;249
Chemical Sciences;240
Health Sciences;83
Built Environment and Design;81
Human Society;73
Psychology;73
Philosophy and Religious Studies;58
History, Heritage and Archaeology;32
Economics;26
Commerce, Management, Tourism and Services;22
Creative Arts and Writing;16
Education;15
Language, Communication and Culture;11
Law and Legal Studies;8
